id,houzui,date,time,evlo,evla,stlo,stla,dist,depmax,mag,az,baz,sn
X1.51051.02.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,101.637,28.3048,328.211,29.7946,4.4,268.628,87.0465,3.15805
X1.51054.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.732,27.8002,423.194,28.1012,4.4,261.712,79.7193,3.20462
X1.51056.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.934,27.7508,308.518,30.1597,4.4,256.881,75.453,3.50044
X1.51057.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.468,27.7561,353.093,28.2984,4.4,258.863,77.2166,3.07316
X1.51058.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.483,27.133,373.078,32.0965,4.4,248.407,66.7845,3.79761
X1.51059.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,101.877,27.2117,333.806,34.2339,4.4,247.149,65.7078,3.33654
X1.53023.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,99.1532,26.7373,604.844,32.4796,4.4,253.443,70.7561,3.5271
X1.53025.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,99.4184,26.4633,591.054,25.3594,4.4,249.814,67.2617,3.32721
X1.53027.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,98.8863,26.3578,644.587,31.9745,4.4,250.691,67.8991,3.84275
X1.53029.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,99.896,26.538,544.03,24.9968,4.4,248.688,66.3517,3.25079
X1.53031.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.252,26.1294,532.477,22.1248,4.4,242.676,60.5185,3.00967
X1.53050.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,99.8985,26.8405,531.235,27.2907,4.4,251.994,69.6472,3.38928
X1.53054.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.797,26.9949,441.813,31.6644,4.4,250.088,68.1517,3.51258
X1.53056.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.999,26.9939,423.296,33.8537,4.4,249.065,67.2221,3.63382
X1.53145.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.081,26.0078,469.656,35.8962,4.4,236.272,54.4964,3.96464
X1.53146.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.654,26.0612,420.43,52.5693,4.4,232.399,50.8827,4.03609
X1.51046.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.2872,28.8089,510.077,190.342,4.7,279.987,97.5461,4.21782
X1.51047.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.8922,28.718,450.181,195.789,4.7,279.723,97.5719,4.22653
X1.51049.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.351,28.5606,403.542,294.97,4.7,278.119,96.1899,3.72015
X1.51051.02.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,101.637,28.3048,275.551,175.126,4.7,275.222,93.9063,4.27342
X1.51052.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.255,28.4178,509.365,123.392,4.7,275.096,92.6551,4.27588
X1.51053.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.859,28.5401,353.905,214.054,4.7,278.638,96.9497,4.44793
X1.51054.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.732,27.8002,365.929,114.424,4.7,265.536,83.8091,4.23807
X1.51055.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,100.85,28.1583,352.239,58.5375,4.7,271.767,90.0853,3.85607
X1.51056.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,101.934,27.7508,249.226,203.471,4.7,261.474,80.3085,4.27142
X1.51057.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,101.468,27.7561,294.584,223.128,4.7,263.11,81.7273,4.33748
X1.51058.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,101.483,27.133,310.672,336.739,4.7,250.359,68.9974,4.44966
X1.51059.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,101.877,27.2117,271.129,433.177,4.7,249.133,67.9519,4.42019
X1.51060.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.3555,29.0113,506.95,181.003,4.7,282.604,100.187,4.30163
X1.53002.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.0228,28.9519,537.855,109.112,4.7,281.305,98.7325,4.25416
X1.53003.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,98.685,28.7346,567.553,168.169,4.7,278.396,95.6719,4.31722
X1.53004.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,98.9106,28.4908,543.466,112.37,4.7,275.79,93.1828,4.10148
X1.53006.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.293,28.249,505.114,94.4495,4.7,272.994,90.577,3.80396
X1.53007.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.6839,28.5757,468.665,146.57,4.7,277.483,95.2384,4.02818
X1.53009.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.7434,28.1529,460.882,77.3305,4.7,271.734,89.5328,4.33482
X1.53010.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.207,27.7992,417.39,31.5234,4.7,266.302,84.3303,3.48194
X1.53011.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,100.064,27.4978,435.915,146.847,4.7,262.112,80.0829,4.06363
X1.53013.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.0588,27.6911,531.225,87.1493,4.7,266.28,83.7762,3.9011
X1.53014.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.087,27.364,533.622,85.9379,4.7,262.371,79.8939,3.8199
X1.53015.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.172,27.097,531.397,172.943,4.7,259.066,76.6389,4.43002
X1.53016.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.4114,27.6054,497.822,117.095,4.7,264.763,82.427,4.17997
X1.53022.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.3807,26.8658,517.989,192.875,4.7,255.775,73.4537,4.24324
X1.53023.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.1532,26.7373,543.782,266.348,4.7,255.017,72.5965,4.4173
X1.53024.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.5506,26.6653,508.771,386.874,4.7,252.832,70.5956,3.72724
X1.53025.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.4184,26.4633,528.904,238.017,4.7,251.018,68.7288,4.42686
X1.53026.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.1422,26.4552,554.963,330.223,4.7,251.967,69.5524,4.30472
X1.53027.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,98.8863,26.3578,582.658,299.734,4.7,251.852,69.325,4.37208
X1.53029.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.896,26.538,481.61,323.26,4.7,249.89,67.8163,4.44497
X1.53030.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.17,26.36,464.602,398.732,4.7,246.362,64.42,3.89119
X1.53032.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.43,26.204,538.934,287.468,4.7,248.122,65.8487,4.42084
X1.53049.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,99.6386,27.2991,481.391,177.686,4.7,260.4,78.1809,4.48517
X1.53051.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.411,27.4246,403.734,240.3,4.7,260.144,78.2786,4.33077
X1.53053.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.64,27.7747,375.243,109.517,4.7,265.257,83.4875,4.32045
X1.53056.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,100.999,26.9939,361.025,326.213,4.7,250.822,69.2406,4.47257
X1.53057.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.48,26.7524,418.771,339.021,4.7,249.913,68.1006,4.2747
X1.53058.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.493,26.5426,426.838,371.807,4.7,246.951,65.1509,4.31753
X1.53145.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,101.081,26.0078,405.9,473.546,4.7,235.81,54.2923,4.3349
X1.53146.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,101.654,26.0612,356.96,429.977,4.7,231.219,49.9595,4.44165
X1.53155.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,102.571,26.1744,282.781,699.818,4.7,221.208,40.3623,4.4596
X1.51046.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.2872,28.8089,186.824,12967.0,5.6,310.13,129.44,4.40891
X1.51047.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.8922,28.718,138.139,8089.51,5.6,322.625,142.221,4.4655
X1.51048.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.298,29.0377,151.562,5381.0,5.6,343.076,162.862,4.20736
X1.51049.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.351,28.5606,100.047,6636.1,5.6,337.011,156.824,4.37264
X1.51050.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,101.934,28.6185,152.34,29242.8,5.6,49.4621,230.018,4.52586
X1.51051.02.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,101.637,28.3048,107.953,47362.1,5.6,53.6395,234.054,4.45432
X1.51052.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.255,28.4178,165.571,15669.4,5.6,297.754,117.054,4.51703
X1.51053.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.859,28.5401,90.3976,19196.7,5.6,6.75277,186.804,4.27444
X1.51054.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.732,27.8002,7.97913,908450.0,5.6,346.797,166.789,4.47397
X1.51055.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,100.85,28.1583,48.4446,35995.8,5.6,11.5916,191.638,4.44653
X1.51056.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,101.934,27.7508,116.761,41545.4,5.6,88.6003,269.149,4.47905
X1.51057.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,101.468,27.7561,70.7804,55627.6,5.6,87.5011,267.833,4.43741
X1.51058.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,101.483,27.133,98.1051,20621.6,5.6,132.241,312.577,4.47428
X1.51059.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,101.877,27.2117,125.312,23681.7,5.6,117.025,297.542,4.48422
X1.51060.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.3555,29.0113,197.118,11052.6,5.6,316.408,135.749,4.44004
X1.53001.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,98.6124,29.0273,254.122,10703.6,5.6,304.953,123.942,4.40042
X1.53002.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.0228,28.9519,216.855,6102.84,5.6,309.043,128.227,4.43153
X1.53003.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,98.685,28.7346,231.268,14171.1,5.6,299.256,118.284,4.40003
X1.53004.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,98.9106,28.4908,199.468,18890.8,5.6,295.43,114.567,4.46673
X1.53007.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.6839,28.5757,140.552,11232.6,5.6,312.064,131.564,4.39109
X1.53008.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.4916,28.0261,128.223,26554.2,5.6,285.114,104.529,4.48169
X1.53009.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.7434,28.1529,109.621,26679.2,5.6,295.538,115.068,4.46178
X1.53010.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.207,27.7992,54.1098,62248.1,5.6,278.261,98.0095,4.43169
X1.53011.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.064,27.4978,72.4795,67329.1,5.6,249.355,69.0387,4.45006
X1.53012.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.024,27.247,89.5473,50077.8,5.6,233.454,53.12,4.42974
X1.53013.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.0588,27.6911,166.886,30177.0,5.6,268.907,88.1249,4.54929
X1.53015.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.172,27.097,171.126,29369.6,5.6,246.161,65.4383,4.55126
X1.53016.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.4114,27.6054,132.829,37428.8,5.6,264.338,83.7196,4.46829
X1.53017.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,98.6083,28.0225,213.413,26545.6,5.6,279.23,98.2338,4.49679
X1.53022.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.3807,26.8658,166.0,26677.5,5.6,235.079,54.4542,4.50302
X1.53023.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.1532,26.7373,192.687,27272.2,5.6,235.552,54.8247,4.51705
X1.53024.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.5506,26.6653,167.487,21509.8,5.6,225.49,44.9441,4.47161
X1.53025.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.4184,26.4633,192.745,22126.6,5.6,223.564,42.9607,4.49056
X1.53026.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.1422,26.4552,213.052,27487.3,5.6,228.835,48.106,4.48198
X1.53027.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,98.8863,26.3578,239.425,26999.2,5.6,230.999,50.1561,4.42728
X1.53028.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,99.1301,26.2006,233.663,25228.8,5.6,223.877,43.1459,4.45148
X1.53029.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.896,26.538,156.915,14328.6,5.6,212.864,32.4767,4.3919
X1.53030.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.17,26.36,162.367,12818.2,5.6,200.904,20.6417,4.41869
X1.53031.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.252,26.1294,184.139,8951.56,5.6,195.707,15.482,4.432
X1.53032.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.43,26.204,213.957,22390.1,5.6,218.085,37.4893,4.44342
X1.53049.01.BHZ,25to20,2012-06-24,07:59:45.63,100.75,27.7301,99.6386,27.2991,119.778,45176.4,5.6,246.757,66.2461,4.44276
X1.53051.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.411,27.4246,47.6288,57841.9,5.6,224.78,44.6241,4.43371
X1.53052.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.398,27.1527,72.8525,31088.5,5.6,208.65,28.4885,4.43081
X1.53053.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.64,27.7747,11.9533,514731.0,5.6,294.449,114.397,4.4936
X1.53057.01.BHZ,25to20,2012-06-24,07:59:45.62,100.75,27.7301,100.48,26.7524,111.591,16039.9,5.6,193.932,13.809,4.3661
