id,houzui,date,time,evlo,evla,stlo,stla,dist,depmax,mag,az,baz,sn,深度,震级类型,震级大小,节面I,,,节面II,,,P轴,,T轴,,B轴,,矩心深度,矩震级,方法
X1.51051.02.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,101.637,28.3048,328.211,29.7946,4.4,268.628,87.0465,3.15805,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.51054.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.732,27.8002,423.194,28.1012,4.4,261.712,79.7193,3.20462,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.51056.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.934,27.7508,308.518,30.1597,4.4,256.881,75.453,3.50044,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.51057.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.468,27.7561,353.093,28.2984,4.4,258.863,77.2166,3.07316,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.51058.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.483,27.133,373.078,32.0965,4.4,248.407,66.7845,3.79761,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.51059.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,101.877,27.2117,333.806,34.2339,4.4,247.149,65.7078,3.33654,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53023.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,99.1532,26.7373,604.844,32.4796,4.4,253.443,70.7561,3.5271,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53025.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,99.4184,26.4633,591.054,25.3594,4.4,249.814,67.2617,3.32721,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53027.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,98.8863,26.3578,644.587,31.9745,4.4,250.691,67.8991,3.84275,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53029.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,99.896,26.538,544.03,24.9968,4.4,248.688,66.3517,3.25079,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53031.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.252,26.1294,532.477,22.1248,4.4,242.676,60.5185,3.00967,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53050.01.BHZ,25to20,2012-04-09,14:45:54.96,104.982,28.4166,99.8985,26.8405,531.235,27.2907,4.4,251.994,69.6472,3.38928,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53054.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.797,26.9949,441.813,31.6644,4.4,250.088,68.1517,3.51258,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53056.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,100.999,26.9939,423.296,33.8537,4.4,249.065,67.2221,3.63382,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53145.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.081,26.0078,469.656,35.8962,4.4,236.272,54.4964,3.96464,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.53146.01.BHZ,25to20,2012-04-09,14:45:54.95,104.982,28.4166,101.654,26.0612,420.43,52.5693,4.4,232.399,50.8827,4.03609,12,ML,4.1,225,68,96,29,23,75,310,23,146,66,43,6,,,CAP
X1.51046.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.2872,28.8089,510.077,190.342,4.7,279.987,97.5461,4.21782,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51047.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.8922,28.718,450.181,195.789,4.7,279.723,97.5719,4.22653,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51049.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.351,28.5606,403.542,294.97,4.7,278.119,96.1899,3.72015,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51051.02.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,101.637,28.3048,275.551,175.126,4.7,275.222,93.9063,4.27342,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51052.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,99.255,28.4178,509.365,123.392,4.7,275.096,92.6551,4.27588,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51053.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.859,28.5401,353.905,214.054,4.7,278.638,96.9497,4.44793,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51054.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,100.732,27.8002,365.929,114.424,4.7,265.536,83.8091,4.23807,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51055.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,100.85,28.1583,352.239,58.5375,4.7,271.767,90.0853,3.85607,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51056.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,101.934,27.7508,249.226,203.471,4.7,261.474,80.3085,4.27142,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51057.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,101.468,27.7561,294.584,223.128,4.7,263.11,81.7273,4.33748,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51058.01.BHZ,25to20,2012-06-12,13:40:51.94,104.435,28.1069,101.483,27.133,310.672,336.739,4.7,250.359,68.9974,4.44966,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
X1.51059.01.BHZ,25to20,2012-06-12,13:40:51.95,104.435,28.1069,101.877,27.2117,271.129,433.177,4.7,249.133,67.9519,4.42019,9,MS,4.5,274,86,-178,184,88,-4,139,4,229,1,337,86,,,CAP
